SRS Substance ID,Radionuclide,Manufacturer,Model,Serial number,Physical form,Chemical form,Initial activity,Initial activity date,Device ID,Device type,Device manufacturer,Device model,Device serial number,Location (Storage),Location (Use),Location (Relocating to)
S53443, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,A3537B,,, 65.86 GBQ, 25-DEC-2017, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S51721, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,GSR-Z-A3187, Solid, Caesium Ceramic, 65.86 GBQ, 24-MAY-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S51722, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,GSR-Z-A3296, Solid, Caesium Ceramic, 65.86 GBQ, 17-DEC-2011, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S51724, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,GSR-Z-2878, Solid, Caesium Ceramic, 65.86 GBQ, 12-NOV-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S50351, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,4739, Solid, Caesium Chloride, 58.83 GBQ, 23-APR-2008, D50350, Borehole logging tool, Unknown,UNKNOWNBOREHOLELOGGINGAPPARATUS,5616, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S52775, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,GGLS-DA-2504,, Caesium Ceramic, 65.86 GBQ, 03-MAY-2006, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, ROMA - Field sites throughout Roma,
AT14664, Cs137 - Sealed radioactive substance, QSA Global, CDC.PLS,OS248,,, 9.25 kBq, 11-DEC-2006, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Technology Corporation, 23500 Colonial Parkway, Katy TEXAS"
AT14665, Cs137 - Sealed radioactive substance, QSA Global, CDC.PLS,OM644,,, 18.5 kBq, 19-SEP-2006, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Technology Corporation, 23500 Colonial Parkway, Katy TEXAS"
AT14726, Cs137 - Sealed radioactive substance, QSA Global, CDC.PLS,RD155,,, 9.25 kBq, 16-MAY-2008, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Technology Corporation, 23500 Colonial Parkway, Katy TEXAS"
AT14727, Cs137 - Sealed radioactive substance, QSA Global, CDC.PLS,PH765,,, 18.5 kBq, 10-JAN-2008, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Technology Corporation, 23500 Colonial Parkway, Katy TEXAS"
AT14728, Cs137 - Sealed radioactive substance, QSA Global, CDC.PLS,PG968,,, 18.5 kBq, 07-AUG-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Technology Corporation, 23500 Colonial Parkway, Katy TEXAS"
AT14729, Cs137 - Sealed radioactive substance, QSA Global, CDC.PLS,RD162,,, 9.25 kBq, 16-MAY-2008, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S32758, Cs137 - Sealed radioactive substance, QSA Global, UNKNOWN MODEL - CS137-A,1545CP, Solid, Caesium Ceramic, 7.77 GBQ, 04-DEC-2012, Unknown, Unknown, Unknown,Unknown,Unknown, WELLCAMP - 20 Ballera Court, Throughout Queensland," NEWBURN, WA 6105 - 19 Searle Road"
S32760, Cs137 - Sealed radioactive substance, QSA Global, UNKNOWN MODEL - CS137-A,1560CP, Solid, Caesium Ceramic, 7.73 GBq, 04-DEC-2012, Unknown, Unknown, Unknown,Unknown,Unknown, WELLCAMP - 20 Ballera Court, Throughout Queensland,
S32761, Cs137 - Sealed radioactive substance, QSA Global, UNKNOWN MODEL - CS137-A,1923CP, Solid, Caesium Ceramic, 7.33 GBq, 10-JAN-2013, Unknown, Unknown, Unknown,Unknown,Unknown, WELLCAMP - 20 Ballera Court, Throughout Queensland," NEWBURN, WA 6105 - 19 Searle Road"
S37490, Cs137 - Sealed radioactive substance, QSA Global, UNKNOWN MODEL - CS137-A,PA193, Solid, Caesium Salt, 333 kBq, 12-JUN-2007, D41916, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,4962, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37491, Cs137 - Sealed radioactive substance, QSA Global, UNKNOWN MODEL - CS137-A,PA210, Solid, Caesium Salt, 22.2 kBq, 13-JUN-2007, D41916, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,4962, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
AT12782, Cs137 - Sealed radioactive substance, QSA Global, UNKNOWN MODEL - CS137-H,A3127,,, 63 GBq, 22-APR-2008, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT44688, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50729,,,,, X44689, Neutron generator, Schlumberger Technology Corporation,PNG-HB,PNG-HB-3068-50729, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT47542, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50911/NR-316-D-101-S,,, 55.5 GBQ, 11-JUN-2015, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT38902, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50577, Gas,, 55.5 GBQ, 29-MAY-2015, X38903, Neutron generator, Schlumberger Technology Corporation,PNG-AAPulsedNeutronGenerator,PNG-AA1154-50577, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT44536, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,51280,,, 55.5 GBQ, 11-MAR-2017, X44537, Neutron generator, Schlumberger Technology Corporation,PNG-HB,PNG-HB3081-51280, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT41702, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50565,,,,, X41703, Neutron generator, Schlumberger Technology Corporation,PNG-AAPulsedNeutronGenerator,1104-50565, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT41704, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,7051,,,,, X41705, Neutron generator, Schlumberger Technology Corporation,PNG-AAPulsedNeutronGenerator,1530-7051, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT41706, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,7072,,,,, X41707, Neutron generator, Schlumberger Technology Corporation,PNG-AAPulsedNeutronGenerator,1298-7072, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48513, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50388,,, 55.5 GBQ, 01-JUL-2015, D48512, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8294-50388, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48515, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,43320,,, 55.5 GBQ, 05-DEC-2012, D48514, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB82596-43320, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48517, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,43534,,, 55.5 GBQ, 06-DEC-2013, D48516, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8735-43534, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48527, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50705,,, 55.5 GBQ, 31-MAR-2015, D48526, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8864-50705, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48529, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50811,,, 55.5 GBQ, 01-JUL-2015, D48528, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8600-50811, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48503, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50710,,, 55.5 GBQ, 16-MAR-2015, D48502, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8865-50710, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48521, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50788,,, 55.5 GBQ, 18-JUN-2014, D48520, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8747-50788, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48523, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50563,,, 55.5 GBQ, 07-NOV-2014, D48522, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8829-50563, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48525, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,51565,,, 55.5 GBQ, 08-OCT-2017, D48524, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8896-51565, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48501, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50383,,, 55.5 GBQ, 25-JUN-2014, D48500, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8420-50383, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48505, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,42831,,, 55.5 GBQ, 13-DEC-2011, D48504, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8364-42831, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48507, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50387,,, 55.5 GBQ, 25-JUN-2014, D48506, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8320-50387, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48518, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,43577,,, 55.5 GBQ, 26-FEB-2014, D48519, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8743-43577, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT40287, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50640,,, 55.5 GBQ, 13-JAN-2015, X40286, Neutron generator, Schlumberger Technology Corporation,PNG-AAPulsedNeutronGenerator,1013-50640, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT40288, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50712,,, 55.5 GBQ, 16-MAR-2015, X40289, Neutron generator, Schlumberger Technology Corporation,PNG-AAPulsedNeutronGenerator,7129-50712, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48509, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50603,,, 55.5 GBQ, 15-DEC-2014, D48508, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8840-50603, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT48511, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50804,,, 55.5 GBQ, 01-JUL-2015, D48510, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8319-50804, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT46805, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,50503,,,,, I-AT46800, 14 MeV neutron generator incorporating a H3 target in the form of a sealed, Schlumberger Technology Corporation,PNG-GC,PNG-GC67123-50503, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT49972, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,3107-51505,,, 55.5 GBQ, 01-JUN-2017, X49971, Neutron generator, Schlumberger Technology Corporation,PNG-HB,PNG-HB3107-51505, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT50089, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,51401,,, 55.5 GBQ, 22-FEB-2017, X50087, Neutron generator, Schlumberger Technology Corporation,PNG-HB,PNG-HB3091-51401,, ROMA - Field sites throughout Roma,
I-AT52126, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,51345,,,,, X52124, Neutron generator, Schlumberger Technology Corporation,PNG-BAPulsedNeutronGenerator,5074-51345, 85 Duke Street ROMA QLD 4455, ROMA - Field sites throughout Roma,
I-AT52127, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation,761,51347,,,,, X52125, Neutron generator, Schlumberger Technology Corporation,PNG-BAPulsedNeutronGenerator,5107-51347, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT36821, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, MNTR-F,7261, Gas,, 55.5 GBQ, 05-MAY-2012, X36822, Neutron generator, Schlumberger Technology Corporation,PNG-BAPulsedNeutronGenerator,5092-7261, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT38322, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, MNTR-F,Unknown, Gas,, 55.5 GBQ, 05-DEC-2012, X38323, Neutron generator, Schlumberger Technology Corporation,PNG-GBPulsedNeutronGenerator,7087-50060, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S60411, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, MNTR-F,50313,,,,, X37534, Neutron generator, Schlumberger Technology Corporation,PNG-BAPulsedNeutronGenerator,5227-50313,, Throughout Queensland,
S54934, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, PNG-CB,PNG-CB8657-51712,,, 55.5 GBQ, 26-MAR-2019, D54935, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CB8657-51712, 73 Beaumont Drive,,
S57159, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, PNG-CB,TX-0586-D-115-S,,, 55.5 GBQ, 03-JAN-2021, X57160, Neutron generator, Schlumberger Technology Corporation,PNG-CB,PNG-GB-8338-52071, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S57161, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, PNG-CB,TX-0556-D-115-S,,, 55.5 GBQ, 03-JAN-2021, X57162, Neutron generator, Schlumberger Technology Corporation,PNG-CB,PNG-CB-8336-52076, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S57163, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, PNG-CB,TX0586-D-115-S,,, 55.5 GBQ, 03-JAN-2021, X57164, Neutron generator, Schlumberger Technology Corporation,PNG-CB,PNG-CB-8399-51819, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S57165, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, PNG-CB,TX-0586-D-115-S,,, 55.5 GBQ, 03-JAN-2021, X57166, Neutron generator, Schlumberger Technology Corporation,PNG-CB,PNG-GB-8596-52069, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S57568, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, PNG-CB,PNG-CB8399-51819,,, 55.5 GBQ, 11-JUL-2019, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S57569, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, PNG-CB,PNG-CB8956-51922,,, 55.5 GBQ, 15-APR-2020, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S54578, H-3 Sealed radioactive substances as a target in a neutron generating radiation apparatus, Schlumberger Technology Corporation, PNG-CB,51574,,, 55.5 GBQ, 08-OCT-2017, D54579, Borehole logging tool, Schlumberger Technology Corporation,PNG-CB,PNG-CBH8292-51574, 73 Beaumont Drive, Throughout Queensland,
I-AT52490, Sealed radioactive substances in borehole logging equipment, AEA Technology, CDRB10275,MP592, Solid, Caesium Ceramic, 22.2 KBQ, 22-JUL-2004, D52489, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD,HRGD3898, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53904, Sealed radioactive substances in borehole logging equipment, Eckert & Ziegler Isotope Products, unknown Cs137 Model,A1-302,,, 351.5 KBQ, 31-AUG-2001, D53713, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,3732R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53905, Sealed radioactive substances in borehole logging equipment, Eckert & Ziegler Isotope Products, unknown Cs137 Model,A1-300,,, 351.5 KBQ, 31-AUG-2001, D53713, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,3732R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53907, Sealed radioactive substances in borehole logging equipment, Eckert & Ziegler Isotope Products, unknown Cs137 Model,UA261,,, 333 KBQ, 12-MAR-2012, D53911, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5922, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53908, Sealed radioactive substances in borehole logging equipment, Eckert & Ziegler Isotope Products, unknown Cs137 Model,TX687,,, 22.2 KBQ, 09-MAR-2012, D53911, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5922, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53914, Sealed radioactive substances in borehole logging equipment, Eckert & Ziegler Isotope Products, unknown Cs137 Model,OZ138,,, 22.2 KBQ, 10-MAY-2007, D53916, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,4944R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53915, Sealed radioactive substances in borehole logging equipment, Eckert & Ziegler Isotope Products, unknown Cs137 Model,PA174,,, 333 KBQ, 12-JUN-2007, D53916, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,4944R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
AT14668, Th(nat) - Sealed radioactive substance, NSSI Sources & Services Inc, GS-M,LWDTB-056, [[{Physical Form}]], [[{Chemical Form}]], 185 kBq, 20-SEP-1996, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
AT14669, Th(nat) - Sealed radioactive substance, NSSI Sources & Services Inc, GS-M,LWDTB-057, [[{Physical Form}]], [[{Chemical Form}]], 185 kBq, 20-SEP-1996, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, 73 Beaumont Drive,
S45295, Th232 - Sealed radioactive substance, Areva (France), GSR-Y,44/67,,, 55 kBq, 20-DEC-2005, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, 73 Beaumont Drive,
S45294, Th232 - Sealed radioactive substance, Cerca LEA, GSR-Y,60/03,,, 55 KBQ, 23-OCT-2001, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S45289, Th232 - Sealed radioactive substance, Nuclear Sources and Services Incorporated (USA), GSR-U,1006,,, 185 kBq, 27-APR-1984, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S45290, Th232 - Sealed radioactive substance, Nuclear Sources and Services Incorporated (USA), GSR-U,1165,,, 185 kBq, 27-APR-1984, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S45291, Th232 - Sealed radioactive substance, Nuclear Sources and Services Incorporated (USA), GSR-U,2006,,, 185 kBq, 27-APR-1984, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S45292, Th232 - Sealed radioactive substance, Nuclear Sources and Services Incorporated (USA), GSR-U,2007,,, 185 kBq, 27-APR-1984, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S45293, Th232 - Sealed radioactive substance, Nuclear Sources and Services Incorporated (USA), GSR-U,2049,,, 185 kBq, 27-APR-1984, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
